Start time:      20/07/2018 23:35:56

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	       4,	  1002.0,	    29.4,	    91.0,	     4.0,	    10.0,	       0
 0.9,	       9,	  1001.4,	    28.3,	    87.6,	     3.7,	     7.0,	     340
 1.9,	      14,	  1000.9,	    28.2,	    87.4,	     3.8,	     5.5,	     292
 2.9,	      18,	  1000.4,	    28.1,	    87.3,	     4.0,	     4.9,	     282
 3.9,	      23,	   999.9,	    27.9,	    87.3,	     4.2,	     4.8,	     290
 4.9,	      28,	   999.3,	    27.8,	    87.1,	     4.5,	     4.8,	     304
 5.9,	      33,	   998.7,	    27.7,	    87.0,	     4.8,	     4.7,	     311
 6.9,	      39,	   998.1,	    27.6,	    86.7,	     5.0,	     4.7,	     311
 7.9,	      44,	   997.5,	    27.5,	    86.7,	     5.3,	     4.6,	     308
 8.9,	      49,	   997.0,	    27.5,	    86.9,	     5.5,	     4.5,	     317
 9.9,	      55,	   996.4,	    27.4,	    87.1,	     5.7,	     4.4,	     345
10.9,	      61,	   995.6,	    27.4,	    87.1,	     5.9,	     4.3,	     366
11.9,	      67,	   994.9,	    27.3,	    87.2,	     6.1,	     4.2,	     356
12.9,	      72,	   994.3,	    27.2,	    87.6,	     6.3,	     4.2,	     321
13.9,	      77,	   993.8,	    27.2,	    87.7,	     6.5,	     4.2,	     289
14.9,	      82,	   993.3,	    27.1,	    87.5,	     6.6,	     4.1,	     279
15.9,	      87,	   992.8,	    27.1,	    87.4,	     6.7,	     4.1,	     286
16.9,	      92,	   992.2,	    27.0,	    87.5,	     6.8,	     4.1,	     300
17.9,	      97,	   991.6,	    27.0,	    87.6,	     6.9,	     4.1,	     311
18.9,	     102,	   991.0,	    27.0,	    87.6,	     7.0,	     4.1,	     314
19.9,	     107,	   990.5,	    26.9,	    87.7,	     7.0,	     4.2,	     312
20.9,	     112,	   989.9,	    26.9,	    87.9,	     7.1,	     4.2,	     307
21.9,	     117,	   989.3,	    26.8,	    88.3,	     7.1,	     4.3,	     304
22.9,	     123,	   988.8,	    26.8,	    88.6,	     7.1,	     4.4,	     313
23.9,	     128,	   988.2,	    26.7,	    89.0,	     7.1,	     4.5,	     339
24.9,	     134,	   987.5,	    26.7,	    89.3,	     7.1,	     4.7,	     359
25.9,	     140,	   986.8,	    26.6,	    89.4,	     7.1,	     4.9,	     349
26.9,	     145,	   986.2,	    26.6,	    89.5,	     7.0,	     5.1,	     311
27.9,	     150,	   985.7,	    26.5,	    89.7,	     7.0,	     5.3,	     266
28.9,	     154,	   985.4,	    26.5,	    90.1,	     7.0,	     5.6,	     237
29.9,	     158,	   984.9,	    26.4,	    90.6,	     6.9,	     5.8,	     245
30.9,	     162,	   984.3,	    26.4,	    91.1,	     6.9,	     6.1,	     268
31.9,	     167,	   983.8,	    26.4,	    91.6,	     6.9,	     6.5,	     283
32.9,	     172,	   983.3,	    26.3,	    92.1,	     6.8,	     6.8,	     285
33.9,	     176,	   982.8,	    26.3,	    92.3,	     6.8,	     7.2,	     274
34.9,	     180,	   982.3,	    26.2,	    92.6,	     6.7,	     7.6,	     252
35.9,	     184,	   981.9,	    26.2,	    92.9,	     6.7,	     8.1,	     236
36.9,	     189,	   981.5,	    26.1,	    93.0,	     6.7,	     8.5,	     250
37.9,	     193,	   980.9,	    26.1,	    93.1,	     6.6,	     9.0,	     287
38.9,	     199,	   980.3,	    26.0,	    93.2,	     6.6,	     9.5,	     321
39.9,	     204,	   979.6,	    26.0,	    93.3,	     6.6,	     9.9,	     330
40.9,	     210,	   979.1,	    25.9,	    93.5,	     6.6,	    10.4,	     319
41.9,	     215,	   978.6,	    25.9,	    93.8,	     6.5,	    10.9,	     305
42.9,	     220,	   978.0,	    25.8,	    94.1,	     6.5,	    11.4,	     296
43.9,	     224,	   977.4,	    25.8,	    94.0,	     6.5,	    11.9,	     285
44.9,	     229,	   976.9,	    25.8,	    93.7,	     6.6,	    12.5,	     264
