Time    Temp    RH      WS
01      17.1    0.84    1.9
02    -999.9    0.84    1.8
03      16.9    0.86    1.1
04      16.6    0.85    1.6
05      16.6    0.86    1.4
06      16.6    0.84    1.5
07      16.8    0.83    1.2
08      17.3    0.80    1.7
09      18.6    0.75    1.5
10      19.6    0.70    2.3
11      20.7    0.69    2.5
12      20.5    0.67    3.4
13      20.2    0.67    3.7
14      20.9    0.65    3.9
15      20.7    0.65    2.5
16      19.6    0.69    3.5
17      19.3    0.73    2.8
18      19.0    0.77    3.4
19      18.6    0.79    2.1
20      18.6    0.80    3.7
21      18.6    0.78    3.0
22      18.5    0.79    2.2
23      18.7    0.79    2.8
24      18.4    0.81    3.7
